site,TotalExchangeCapacity,pH,OrganicMatter,N,S,P,Ca.prop,Mg.prop,K.prop,Na.prop,Fe.mg_kg,Mn.mg_kg,Zn.mg_kg,Al.mg_kg,Clay.prop,Silt.prop,Sand.prop,shade,precip,tmin,lat,long
s3293,3.22,4.3,4.48,95,13,68,20.34,7.25,2.71,1.89,394,2,4.22,908,11.63,7.62,80.75,72.3866667,2.1963008859,1.4895955242,44.18436111,-90.22775
s3294,6.61,4.5,5.01,100,9,64,28.06,5.67,1.9,0.99,223,13,2.95,500,8.91,7.73,83.36,89.4833333,2.1963008859,1.4895955242,44.18011111,-90.27711111
s3295,2.13,4.4,1.73,55,7,18,19.95,9,2.53,2.86,287,23,1.4,527,7.51,3.66,88.83,85.3616667,2.1999234532,1.2243060272,44.21922222,-90.30947222
s3296,1.95,4.5,1.1,42,9,18,20.77,8.12,4.6,3.12,278,22,1.72,496,7.02,1.74,91.24,84.2116667,2.1999234532,1.2243060272,44.21583333,-90.31997222
s3297,2.36,4.8,1.55,51,11,19,31.14,6.71,2.93,2.39,241,31,1.76,795,7.72,2.24,90.04,84.8783333,2.1999234532,1.2243060272,44.21197222,-90.30694444
s3299,3.49,3.9,5.47,102,11,42,13.75,6.21,2.35,2.12,397,1,3.05,812,8.07,10.06,81.87,88.4816667,2.2022412506,1.5429103893,44.14241667,-90.29963889
s3300,3.29,4.1,3.91,89,10,58,16.26,6.08,3.2,2.25,339,2,2.85,571,8.89,7.3,83.81,85.3516667,2.2022412506,1.5429103893,44.1145,-90.27061111
s3301,2.56,4.1,3.08,81,9,29,17.38,5.21,2.5,2.72,349,1,2.04,593,8.23,5.83,85.94,86.895,2.1999234532,1.2243060272,44.21505556,-90.3175
s3302,2.02,4.2,3.92,89,10,12,15.1,9.08,3.3,2.58,239,2,2.46,719,8.27,5.1,86.63,85.6533333,2.2008405164,1.3613569926,44.13658333,-90.32186111
s3303,3.67,4.3,2.51,70,11,17,22.62,5.22,2.31,2.01,367,10,2.15,583,7.08,4.62,88.3,88.585,2.2008405164,1.3613569926,44.13852778,-90.32125
s3304,3.26,4.5,3.4,84,10,24,25.77,6.39,2.36,2.13,306,5,1.73,544,6.49,2.69,90.82,82.1066667,2.1963008859,1.4895955242,44.16683333,-90.25133333
s3307,2.44,4.3,2.17,63,11,21,20.08,6.83,2.42,2.85,324,11,1.87,696,7.27,5.28,87.45,86.105,2.2012624218,1.4905372888,44.10341667,-90.40683333
s3308,4.94,4.3,3.91,89,7,15,21.76,7.09,2.02,1.32,188,17,2.4,260,6.43,2.05,91.52,91.57,2.2008405164,1.3613569926,44.13277778,-90.32161111
s3309,3.03,4.3,2.51,70,8,14,19.64,7.15,2.96,2.44,118,12,5,159,5.15,4.02,90.83,89.495,2.2008405164,1.3613569926,44.11961111,-90.33233333
s3311,3.72,4.5,1.55,51,8,21,25.27,7.39,2.27,1.64,248,20,2.41,523,6.12,4.93,88.95,86.2483333,2.275915507,1.9038619029,44.28072222,-90.81941667
s3312,3.1,4.3,2.21,64,7,19,20.65,6.99,2.89,1.68,267,16,2.93,418,5.64,2.74,91.62,88.4216667,2.275915507,1.9038619029,44.27813889,-90.8225
s3313,10.37,5.6,3.67,87,10,25,60.17,5.3,0.84,0.5,180,114,3.21,656,8.86,5.54,85.6,89.2283333,2.275915507,1.9038619029,44.27402778,-90.84811111
s3315,4.03,4.2,9.31,122,12,16,19.48,5.38,3.94,1.19,360,7,2.06,890,10.81,18.68,70.51,89.3466667,2.2807303505,1.5376234214,44.34530556,-90.74533333
s3316,6.07,4.2,5.44,102,7,19,21.42,5.77,1.82,1,176,9,3.37,268,4.85,7.67,87.48,89.225,2.2325011318,1.3024308558,44.35575,-90.50861111
s3317,8.2,4.1,9.94,125,16,29,20.61,2.95,3.35,0.9,308,1,1.55,1341,26.04,42.57,31.39,86.525,2.2325011318,1.3024308558,44.378,-90.54011111
s3318,3.11,4.4,1.58,52,13,28,24.92,5.09,2.14,2.24,223,29,2.81,687,6.38,1.47,92.15,87.2283333,2.2807303505,1.5376234214,44.37547222,-90.72452778
